,job_title,company,salary,job_description
10,Data Analyst,CAPGEMINI SINGAPORE PTE. LTD.,"$5,500to$10,000Monthly","Roles & ResponsibilitiesExplore and analyse complex data sets to formulate models Implement complex KPIs for various business domains Work with super users to implement complex reports and advanced data visualisations Define or adapt suitable predictive models Requirements Engineer or University degree 5+ years of experience with data visualization and predictive tools Good knowledge of predictive models (R or else) Experience with MS Power BI, Tableau, Qlik or Domo is a real plus Knowledge of data wrangling tools (Trifacta, alteryx, ) "
11,Data Warehouse and Reporting Specialist,Company Undisclosed,"$9,000to$12,000Monthly","Roles & ResponsibilitiesAPPLICANTS HAVE TO APPLY VIA OUR WEBSITE: ""http://careers.pageuppeople.com/395/ci/en/listing"" PURPOSE: To provide outstanding systems support to the Marketing department. Ensure all contracts and SLAs are managed to target performance and provide technical support SME for trading and reporting systems. TYPICAL TASK:
 - Deliver Datawarehouse and reporting enhancements in support of the Marketing business.
 - Provide day-to-day support to Marketing organisation users including (but not limited to): reporting, trading, finance and integration systems. - Manage the change management process to any trading application ensuring that each change is approved, well documented, tested and released in a controlled manner to the production environment. - Provide analysis support for any issues (hardware or application) arising and resolve these whilst liaising with third party service providers as appropriate. - Drive improved performance from support partners ensuring they are well briefed and trained to provide a strong service. - Ensure that there is adequate licensing in place to cover the Marketing user base. - Provide support coverage to Singapore counterparts, as part of a global team i.e. cover any Singapore absences and also cover the London hours end-of-day system processing. - Improve unit cost performance and service level achievement continuously. RequirementsCAPABILITY REQUIRED TO DO THE ROLE: Knowledge: Formal qualifications:  An undergraduate qualification (Bachelors degree or equivalent) in the relevant IM Discipline. Desirable: It would be advantageous to have a postgraduate qualification in the relevant IM discipline OR a proven track record of extensive practical experience in a role and context of similar complexity. Role-specific knowledge:  - the specific IM field, controls and risk mitigation - relevant business process improvement plans, risks and opportunities - the Marketing systems landscape Safety Knowledge: Provides a consistent outstanding role model in relation to safety practices with a deep understanding of the importance of safety. Technical Skills: Ability to: - make recommendation to process stakeholders on process improvement. - analyse and identify risk root causes and quantify potential business impact. - implement solutions to better enable the process and reduce level of exposure and risk. - interpret policy and explain why work needs to be completed in a particular manner. - explain how a particular process task needs to be fulfilled. - engage with key stakeholders and understand their process requirements. - assign and re-assign work to ensure outputs and the elimination of waste. - participate in IM initiatives and the different processes involved. - perform continuous monitoring reviews to make sure that the process aligns to the overall system. - complete project lifecycles with responsibility for a small team. Take an idea from concept to proof of concept and then to pilot. Any other requirements to perform the work effectively: - Global travel and collaboration across time zones may be required."
12,Data Scientist,OAK CONSULTING PTE. LTD.,"$6,000to$10,000Monthly","Roles & ResponsibilitiesData Scientist - with experience in Airport Hub Operations The Candidate serves as internal consultants to the operational leaders by providing analytical and project support across all major areas of the operation. The Data Scientist
will  Provides direction for the Airport Online Operations
and co-ops/interns in locating, extracting and aggregating data Manages process improvement and project management engagements for both individual business units and cross-divisional initiatives Interface with business unit leaders to develop and maintain internal customer relationships Presents findings to Hub and business unit leaders Locates and develops new data sources and/or complex analytical models and projects Develops highly complex reports, models and analyses with minimal supervision Practices safety-conscious behaviors in all operational processes and procedures Bachelor's degree in Engineering, Computer Science, Information Science, Business/Management, Mathematics/Statistics, Economics or other relevant quantitative field required and 3+ years of experience in analysis, information science, data visualization, or other relevant quantitative field required or a Master's degree and 2+ relevant experience. Previous airline experience preferred. Track record of seeking leadership roles including student and community organizations preferred. Must be comfortable working in group and individual settings and presenting to leaders.  RequirementsSuccessful candidates will have an intermediate level of understanding or experience with most, if not all, of the following:  SQL, Python, R or other database interface tools and languages Statistical Modeling and Six Sigma DMAIC process highly preferred MS Office Suite, Microstrategy and Tableau experience Must be performing satisfactory in current position. Some travel might be required to domestic hubs. "
13,Senior Data Analyst (JD#4216),Company Undisclosed,"$5,000to$7,000Monthly","Roles & ResponsibilitiesJob Summary Great opportunity to gain experience as a Senior Data Analyst within the tourism / entertainment industry working on the latest data analytics cloud platform with machine learning and Artificial Intelligence capabilities. 
 RequirementsMandatory Skill-set  Bachelor's Degree in Mathematics, Statistics or Computer Science; At least 3 years of relevant experience in data science and analysis; Technical expertise regarding data model, database design development, data mining, clustering and segmentation techniques; Proficiency in analytical tools such as R, Python and data visualization tools like Tableau as well as knowledgeable in ETL concepts; Strong knowledge of and experience with reporting packages, databases, data marts , data warehousing; Possess strong reasoning skill and analytical skills; Meticulous
and organised with good interpersonal and communication skills.  Desired Skill-set  Preferably with experience in Hadoop, Spark, Hive and Apache Pig.
  Responsibilities  Collect and interpret data and analyze results using statistical techniques; Develop and implement data collection and strategies that optimise
statistical efficiency and quality of data; Identify, analyze and interpret trends or patterns in complex data sets; Work with business stakeholders and present the findings to stakeholders
effectively communicating the key findings and recommendations; Act as a point of contact for data team.  Should you be interested in this opportunity, please send your updated resume to apply@sciente.com at the earliest. Confidentiality is assured, and only shortlisted candidates will be notified.
 Sciente International Pte Ltd (EA License: 07C5639)"
14,Research Fellow,Company Undisclosed,"$4,000to$5,000Monthly","Roles & ResponsibilitiesData Scientist / Programmer for Regional ATM Modernisation Programme Under the Air Traffic Management Research Institute (ATMRI) (http://atmri.ntu.edu.sg/), Nanyang Technological University, you will be part of Regional ATM Modernisation Programme team to perform programming and data analytics for the ASEAN air routes and ATM operations in the region. Primary Duties or Responsibilities Specifically, you will  Undertake research and development related to Air-space management & Data Analytics. Perform programming support for fast time and real-time simulation tools, doing analytics, and building high quality strategic planning system for future for Air Traffic Management (ATM) eco-system for the region. You will provide expertise on mathematical concepts for the broader applied analytics of flow management and inspire the adoption of advanced analytics and data science across the entire breadth of regional ATM system. Conduct stakeholder meetings to solicit input for development of systems. Interact with senior personnel such as project lead and ATC operations specialist on significant technical matters and coordinate with other specialist teams within programme. Represent the Institute at regional/global ATM platforms, international forum/conferences. Occasional overseas travel may be required.  Requirements Doctorate degree in a relevant field. At least 3 years experience in any aviation-related fast-time simulation environment. Knowledge of tools like SAAM and AirTop will be an added advantage. Strong programming skills. Experience in
Data Science (knowledge in Aviation / Air Traffic Management Good English writing and communication skills Independent and team player "
15,Data Scientist,BIGO TECHNOLOGY PTE. LTD.,Salary undisclosed,"Roles & Responsibilities R & D of NLP technology to solve text classification and clustering, sentiment analysis, name entity extraction, sementic models, question and answer system, natural language generation.   Apply NLP to ranking, user profiling and comment analysis. 
 
 
 
 

  Requirements Master's or doctorate degree in computer science, mathematics or related field.

 








 Expertise on some NLP topics. Expertise on machine learning and statistics. Excellent communication skills and teamwork skills. Hadoop/Spark/MPI programming skill is preferred.










 Familiar with deep learning in NLP is preferred. "
16,Master Data Analyst,APPLE SOUTH ASIA PTE. LTD.,"$6,000to$10,000Monthly","Roles & ResponsibilitiesJob Summary Team up with Apple, one of the most influential technology leaders in the industry. Join the Apple Finance organization and make a positive impact on a company that is known for its impressive lineup of products, including Mac, iPod, iPhone and iPad. At Apple, youll share in a commitment to excellence by partnering with world-class professionals, all with one unified vision  creating innovative products that delight customers. We do this by hiring quality individuals with integrity, personal accountability, teamwork, excellence, and dedicated thinking. If you exemplify our values and want to be part of something big, contact us today. Apples Global Business Solutions (GBS) is a centrally managed organization that supports Apples four shared service centers around the world, including Austin, TX, Cork, Ireland, Shanghai, China and Singapore. GBS is responsible for vendor and customer master data management, finance helpline support and technical production support for SAP and other finance systems. This position may be located in either Shanghai or Singapore and is responsible for Japan vendor and customer master data management. Description - Creation, maintenance and management of customer and vendor master data in SAP and peripheral systems - Communication with external vendors in Japanese is required - Ensure compliance with SOX controls, finance policies and documented procedures Support documentation and enforcement of data governance policies, standards and processes - Handle urgent work deadlines and high profile deliverables in an efficient manner - Communicate and co-ordinate effectively with subject matter expert and the business teams on processes, projects and change management - Find opportunities for process improvement and automation to drive scale and efficiency, while maintaining a strong control environment - Participate in SAP projects and user acceptance testing when master data participation is required - Provide problem resolution and business-case diagnostics on complex system and data issues - Audit and update database to ensure that master data is consistent, free of duplicates, accurate, up-to-date and correctly classified - Build data quality metrics and reporting to validate and carry out operating and key control activities RequirementsKey Qualifications  You will have a strong knowledge of master data functions You are self-motivated and natural curiosity to learn
 Possess excellent written and verbal social skills
 Strong business partnering skills and ability to establish relationships with multi-functional and global partners You have strong analytical, problem-solving and negotiating skills
 Ability to handle various tasks simultaneously, while working independently in a fast paced, ambiguous environment Validated ability to perform under tight deadlines with flexibility with working hours to support global issues required  Education Bachelor degree in a technical or business discipline Experience with customer and vendor master data preferred"
17,"AVP / Senior Associate, Lead Development Engineer, Grp Consumer Banking & Big Data Analytics (180002YV",DBS BANK LTD.,"$5,500to$11,000Monthly","Roles & Responsibilities Manage the Avaloq Configuration / Release Management tasks and work on the BAU tasks in non-production environments Env Planning (DB, application), Avaloq ICE Streaming, Release calendars preparation and communicate with all stakeholders Definition of Connect Direct (NDM), IBM MQ, Avaloq Tools Upgrade, TWS Definition and Batch support, and FIX Platform interface setup Projects and Enhancement requests. Plan and manage the end-to-end deployment and delivery of IT infrastructure for Banks project from deployment planning, setup & testing, pre-production readiness to production cutover. Collaborate with Architecture and Engineering team, Application teams, Infrastructure teams, and service providers in delivering quality IT solutions and services to meet business objectives. Ensure the project meet schedule and within the allocated budget and resources. Adhere to the bank's Project Management, Deployment and Change management process.
 Prepare and submit the necessary change requests and requisition forms for the deployment of infrastructure for the project, such as facility request, IP/DNS/Hostname request, SAN requisition, etc. Conduct proper transition from Project to Operations before project closure. Prepare all project documentation such as SOM and status reports, assure report accuracy and timeliness. e.g. Weekly Project Status report, etc. Work collaboratively with technology team and vendors, provide single point of contact and drive resolution of issues that arise in projects. Maintain business partnership with Line of Business (LOBs) and constantly collect and manage users demands and applications infra requirements. Coordinate with DBA, Solaris, Linux, Windows, Network, ID Mgmt and other Infra admin teams on the system issue related tasks Co-ordinate with various Infra teams to apply the OS / DB / MQ patches
 Apply the innovative thinking to automate the manual tasks, provide infrastructure services effortlessly, improve performance and resilience of the systems.  Requirements The candidate need to have minimum of 5 years IT experience with Avaloq Release Management and infrastructure project delivery. The candidate should have strong infrastructure technical background with hands on Open Systems platform such as Solaris, Linux, virtualization, network, and storage. Moderate information security knowledge Have a good understanding of ITIL processes and project management processes. Development experience in SQL & PL/SQL, preferably in Oracle 11g / 12c environment Must have hands-on experience in IBM MQ series, Connect Direct and SSH such as file transfer tools Good to have knowledge on the Micro services and cloud services A Bachelors degree in Computer Science (or equivalent experience) 5 -8 years of development and delivery experience Able to perform Unix / Linux scripting. Monitor and address issues relating to capacity constraints and performance related items. Analyze and perform database performance tuning. Develop and maintain high-performance, scalable utilities to support technology research and data transformation. Contribute to the establishment and maintenance of distributed computing platform / Messaging services Good leadership skills in working with Application teams and service providers in defining and executing infrastructure deployment plan, coordination of all infrastructure required activities, cutover/migration strategy and test plan. Good in documentation, tracking, form submission, raising change request and project status reports.
 Should be an effective communicator with good people management skills to handle diverse groups/teams in the project. Should be a proactive self-starter with strong analytical skill, team-player, independent, pro-active, resourceful.
 "
18,"AVP / Senior Assoc, Data Scientist - Data Analytics & Robotics Team, Group Audit (180001M7)",DBS BANK LTD.,"$6,000to$10,000Monthly","Roles & ResponsibilitiesBusiness Function
 Group Audit helps the Board and Executive Management meet the strategic and operational objectives of the DBS Group. We conduct independent checks to ensure that the Groups risk and control processes are adequate and effective. All our team members are highly sought-after professionals who work as trusted advisors to our clients, in all matters related to a companys internal controls.
 Responsibilities  Partner with audit specialists across various banking functions to assess business needs and identify opportunities to apply data analytics Define analytical strategy to address identified opportunities, including analytical approaches, data and technology requirements Develop models and perform statistical analysis to identify key areas of risk and predict risk events, across a range of banking functions Present key findings to senior management and/or other stakeholders with actionable recommendations. Work with other data scientists in the team to drive projects  Requirements Post graduate degree in Computer Science, Machine Learning, Statistics, Applied Mathematics, or equivalent At least 3 years of experience in data mining and machine learning on large amount of data, building and implementing various statistical models Good mathematical and statistics background, including the ability to translate business problems and requirements into mathematical formulations Proficient in data manipulation and analysis Proficiency in R, Python, or other statistical software required. Experience in Big Data technology stack is a plus Ability to present analysis in a manner accessible by non-statisticians through data visualisation techniques Independent self-starter with ability to multitask Excellent verbal and written communication skills and the ability to interact professionally with a diverse group of executives, managers and subject matter experts Has a can-do attitude "
19,"Application Support Analyst, Reference Data Team","JPMORGAN CHASE BANK, N.A.","$6,000to$12,000Monthly","Roles & ResponsibilitiesWe are seeking an Application Support Analyst who can ensure
a smooth and effective operation of applications and 24/7 availability of the systems through careful monitoring of infrastructure, production processes, automating procedures where possible via scripting, and performing Permit to Operate on each application release. Analysis of existing system and user needs and support of newly developed systems. L2 Support is responsible for day to day support of CT environments infrastructure including the production and DR environments. Works with the development and other support teams to provide design guidelines and imparts knowledge on technical trends and solutions. The candidate will Instrument end to end monitoring of the CT infrastructure, ensuring high availability of the environment and timely alerting of any potential issues.
 Ensures infrastructures have adequate capacity and are refreshed on a periodic basis. Develops and maintains system documentation, run-books and production metrics reporting.
 Work effectively within the CT team to identify and resolve issues. Communicate effectively with both technical and non-technical individuals at all levels. . 
 Key responsibilities  Provide Level
 2 support to internal business users Prioritize workload, provide timely and accurate resolutions Perform in-depth research and identify sources of production issues Effectively perform and document root cause analysis of issues Identify efficiencies and ways to improve processes Juggle an array of tasks while demonstrating strong organization Perform daily health checks of the application, job schedules and infrastructure supporting the application Develop scripts to automate repeatable manual tasks Participate in Disaster Recovery events and Major Event Changes Partake in audit support activities, as they pertain to Information Security, for both internal and external audits.
 Perform audit support tasks as assigned Manage the application risk to ensure the security and resiliency of the application are in compliance with firm and regulatory requirements Ensure infrastructure has adequate capacity and are refreshed on a periodic basis Maintain system documentation and provide production metrics reporting. Act as first point of contact to diagnose and resolve issues raised by the business as part of the global operate team. Liaise with colleagues and other teams within the technology group to drive enhancements to technology requested by the business. Understand the batch flow and application flow end to end and be able to support the batches, drive improvements and automate manual procedures.  RequirementsQualifications  7-10 years Production support experience in Unix, Oracle and PL/SQLwith ability to manage/drive high priority Production incidents. Experience with escalated ticket management.
 Able to work under pressure to resolve issues affecting production services. Excellent analytical, problem-solving and multi-tasking skills. Experience with creating process, procedures, and documentation relating to incident management or systems operations. Able to work weekend on call rotations as required. Ability to coordinate tasks with multiple teams in multiple locations and time zones. Able to adapt to new technologies. Experience of communicating problems and issues concisely to senior business and technology leads.  Soft Skills (Essential):  Excellent verbal and written communication skills. Excellent interpersonal skills and be able to quickly understand and retain knowledge of business processes and the technology systems. Ability to handle high pressure, complex environments. Energetic and highly self-motivated. Build positive working relationships with external teams and managing their expectations. Strong analytical skills to solve complex issues.Good in stakeholder management and able to multi-task  Technical Skills:  Experience with supporting OS (Windows, Linux), web servers (IIS, Apache), application servers (WebSphere, Tomcat). Strong Oracle, PL/SQL support experience Strong UNIX experience. Need to have ability to read and understand UNIX Shell scripts. Strong knowledge in scheduling tools like Control-M and Autosys Knowledge of monitoring tools like Geneos , App Dynamics, Splunk Hands-on experience in troubleshoot performance issue including analyzing heap/thread dumps. Experience creating automation tools via scripting in both Linux as well as Windows environment  
 Experience (Desirable)  Previous experience of Reference Data support will be preferable  
 Key skills  Individual should be a self-starter who is confident and highly motivated to succeed. A genuine desire to learn about the business process and products across a number of asset classes. Ability to comfortably use a number of different technologies to analytically resolve complex issues Ability to take ownership of a myriad of issues and see them through to resolution. Excellent interpersonal skills, team player, with an ability to remain calm under pressure. Ability to take ownership of an issue and see it through to resolution. Ability to prioritize work load, multi task and react quickly to meet business expectations.  
Additional information  A flexible approach to working hours is required in order to cover the trading day.
 There is a rota system in place to provide on-site support normally between 7:30am and 7:00pm. Out of hours support is a part of this role and as such this role extends to support
production and batch monitoring, releases or maintenance of server processes where necessary on weekends on a rota basis.  Our Corporate Technology team relies on smart, driven people like you to develop applications and provide tech support for all our corporate functions across our network. Your efforts will touch lives all over the financial spectrum and across all our divisions: Global Finance, Corporate Treasury, Risk Management, Human Resources, Compliance, Legal, and within the Corporate Administrative Office. Youll be part of a team specifically built to meet and exceed our evolving technology needs, as well as our technology controls agenda. 
 When you work at JPMorgan Chase & Co., youre not just working at a global financial institution. Youre an integral part of one of the worlds biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.
 At JPMorgan Chase & Co. we value the unique skills of every employee, and were building a technology organization that thrives on diversity.
 We encourage professional growth and career development, and offer competitive benefits and compensation.
 If youre looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.
 
 We strongly encourage all applicants to apply via our careers website where you are able join our Talent Network to receive customized vacancy notifications and ensure that your details are accessible by our global recruiting team - www.jpmorganchase.com/careers. 
 A quick link to this particular job posting can be found in this URL: http://jobs.jpmorganchase.com/ListJobs/ByKeyword/180066358/  Please note that only short-listed candidates will be notified. We thank you for your interest and wish you all the best in your career.  Yours Sincerely, Human Resources JPMorgan 
"
